Make,Model,Title,Price,Mileage,Year,Transmission,Fuel Type,Reviews,Rating,CO2 Emission,Engine Size,Color,Doors,Body Type,Distance
BMW,3 Series,BMW 3 Series M340i xDrive MHT 4dr Step Auto,"£41,395","5,081",2022,Semiauto,Hybrid,7,4.5,176 g/km,3.0 L,White,4,Saloon,9 miles
Lexus,NX,Lexus NX 300h 2.5 Takumi 5dr CVT [Pan roof],"£41,950","17,039",2021,Automatic,Hybrid,1,5.0,173 g/km,2.5 L,Silver,5,Suv,9 miles
Lexus,RX,Lexus RX 450h L 3.5 Takumi 5dr CVT,"£43,610","17,779",2019,Automatic,Hybrid,15,4.0,138 g/km,3.5 L,Silver,5,Suv,9 miles
Porsche,Macan,Porsche Macan S 5dr PDK,"£48,030","38,780",2019,Semiauto,Petrol,,,200 g/km,3.0 L,Black,5,Suv,9 miles
Lexus,RX,Lexus RX 450h L 3.5 5dr CVT [Premium pack],"£49,995","9,450",2022,Automatic,Hybrid,15,4.0,186 g/km,3.5 L,Grey,5,Suv,9 miles
Lexus,RX,Lexus RX 450h 3.5 5dr CVT [Premium pack],"£52,995",64,2022,Automatic,Hybrid,15,4.0,178 g/km,3.5 L,Black,5,Suv,9 miles
Lexus,RX,Lexus RX 450h 3.5 F-Sport 5dr CVT,"£58,945","4,955",2022,Automatic,Hybrid,15,4.0,180 g/km,3.5 L,Black,5,Suv,9 miles
Lexus,RX,Lexus RX 450h 3.5 F-Sport 5dr CVT,"£59,275","2,950",2022,Automatic,Hybrid,15,4.0,180 g/km,3.5 L,Blue,5,Suv,9 miles
Kia,Soul,Kia Soul Connect+ Crdi 5dr,"£7,000","80,484",2015,Manual,Diesel,14,4.5,132 g/km,1.6 L,White,5,Hatchback,9 miles
Ford,Ka+,Ford Ka+ 1.2 Ti-vct Active Hatchback 5dr Petrol Manual Euro 6 (s/s) (85 P,"£9,980","37,532",2018,Manual,Petrol,89,4.0,129 g/km,1.2 L,Black,5,Hatchback,9 miles
BMW,3 Series,BMW 3 Series Ed 2.0 Sport 4dr,"£11,799","90,863",2015,Manual,Diesel,,,108 g/km,2.0 L,Red,4,Saloon,9 miles
Renault,Captur,Renault Captur T Line Tce 90 My18,"£12,299","49,194",2019,Manual,Petrol,9,4.5,125 g/km,0.9 L,Flame red/diamond black roof,0,Hatchback,9 miles
Ford,Fiesta,Ford Fiesta 1.0t Ecoboost St-line X Hatchback 3dr,"£12,499","24,909",2018,Manual,Petrol,373,4.0,98 g/km,1.0 L,Black,3,Hatchback,9 miles
Ford,Fiesta,Ford Fiesta Titanium 1.0t Ecoboost 95ps,"£12,499","44,066",2020,Manual,Petrol,373,4.0,116 g/km,1.0 L,Metropolis white exclusive,0,Hatchback,9 miles
Vauxhall,Corsa,Vauxhall Corsa 1.2 75 Se,"£12,880","25,128",2020,Manual,Petrol,268,4.0,125 g/km,1.2 L,Nautic blue,0,Hatchback,9 miles
Vauxhall,Corsa,Vauxhall Corsa 1.2 75 Se,"£13,000","24,669",2021,Manual,Petrol,268,4.0,118 g/km,1.2 L,Quartz grey,0,Hatchback,9 miles
Vauxhall,Corsa,Vauxhall Corsa 1.2 Se,"£13,190","8,947",2021,Manual,Petrol,268,4.0,118 g/km,1.2 L,Peperoncion red,0,Hatchback,9 miles
Vauxhall,Crossland,Vauxhall Crossland X 1.2 Se 5 Door Suv,"£13,490","18,805",2021,Manual,Petrol,,,134 g/km,1.2 L,Nautoc blue,0,Hatchback,9 miles
Vauxhall,Grandland X,Vauxhall Grandland X X 1.2 Turbo Se 130ps S/s Euro 6 5 Door,"£13,499","51,077",2019,Manual,Petrol,,,114 g/km,1.2 L,Black,0,Hatchback,9 miles
Vauxhall,Corsa,Vauxhall Corsa 1.2 Se Premium 75ps 5 Door,"£13,499","18,552",2020,Manual,Petrol,268,4.0,121 g/km,1.2 L,Moonstone grey,0,Hatchback,9 miles
