make,model,title,price,mileage,year,transmission,fuel_type,reviews,rating,color,doors,body_type,distance
Renault,Kangoo,Renault Kangoo 1.5 dCi Expression Euro 4 5dr,3790,96000,2010,Manual,Diesel,14.0,4.5,Blue,5,Mpv,9 miles
Ford,Kuga,Ford Kuga 2.0 TDCi Titanium AWD Euro 4 5dr,3990,110000,2008,Manual,Diesel,31.0,4.5,Silver,5,Suv,9 miles
BMW,X3,BMW X3 3.0d SE Auto 4WD Euro 4 5dr,3990,76000,2005,Automatic,Diesel,27.0,4.5,Silver,5,Suv,9 miles
BMW,X5,BMW X5 3.0d Sport Auto 4WD Euro 4 5dr,3990,124000,2006,Automatic,Diesel,35.0,4.5,Black,5,Suv,9 miles
Saab,9-3,Saab 9-3 2.0T Vector Sport Anniversary Sportwagon 5dr,3990,97000,2008,Automatic,Petrol,119.0,4.5,Silver,5,Estate,9 miles
Citroen,Berlingo,Citroen Berlingo 1.6 HDi VTR Multispace MPV Euro 4 5dr,3990,94000,2009,Manual,Diesel,47.0,4.0,Beige,5,Mpv,9 miles
Mitsubishi,Lancer,Mitsubishi Lancer 1.8 GS2 Sportback Euro 4 5dr,3990,59000,2008,Manual,Petrol,14.0,4.5,Silver,5,Hatchback,9 miles
Citroen,Berlingo,Citroen Berlingo 1.6 HDi 625 X L1 4dr,3990,110000,2010,Manual,Diesel,47.0,4.0,White,4,Panel van,9 miles
Volkswagen,Polo,Volkswagen Polo 1.6 TDI SE Euro 5 3dr,3990,98000,2010,Manual,Diesel,150.0,4.0,Black,3,Hatchback,9 miles
Ford,Galaxy,Ford Galaxy 1.8 TDCi Ghia 5dr,4290,81000,2008,Manual,Diesel,43.0,4.0,Silver,5,Mpv,9 miles
Suzuki,Grand Vitara,Suzuki Grand Vitara 2.4 VVT SZ4 Auto 4WD Euro 5 3dr,4490,98000,2011,Automatic,Petrol,32.0,4.0,White,3,Suv,9 miles
Vauxhall,Vivaro,Vauxhall Vivaro 2.0 2900 CDTi FWD L3 4dr,4490,108000,2007,Manual,Diesel,2.0,4.5,Red,4,Panel van,9 miles
Ford,Transit Connect,Ford Transit Connect 1.8 TDCi T230 L3 H3 4dr DPF,4490,105000,2012,Manual,Diesel,2.0,5.0,Silver,4,Panel van,9 miles
Vauxhall,Insignia,Vauxhall Insignia 1.8 16V SRi Euro 5 5dr,4490,115000,2015,Manual,Petrol,96.0,4.5,Grey,5,Hatchback,9 miles
Ford,Transit,Ford Transit 2.2 TDCi 300 Duratorq FWD L2 H2 5dr,4490,104000,2008,Manual,Diesel,15.0,4.0,White,5,Panel van,9 miles
SsangYong,Rexton,SsangYong Rexton 2.7D S T-Tronic 4WD Euro 4 5dr,4490,72000,2009,Automatic,Diesel,9.0,4.5,N/a,5,Suv,9 miles
Kia,Sorento,Kia Sorento 2.4 1 Euro 5 5dr,4490,103000,2010,Manual,Petrol,32.0,4.5,Black,5,Suv,9 miles
Ford,Transit Connect,Ford Transit Connect 1.8 TDCi T220 Trend Panel Van SWB 4dr DPF,4490,103000,2011,Manual,Diesel,2.0,5.0,N/a,4,Panel van,9 miles
Vauxhall,Insignia,Vauxhall Insignia 2.0 CDTi ecoFLEX SRi Nav Euro 5 (s/s) 5dr,4790,109000,2014,Manual,Diesel,96.0,4.5,Silver,5,Hatchback,9 miles
Ford,Kuga,Ford Kuga 2.0 TDCi Titanium AWD Euro 4 5dr,4890,97000,2009,Manual,Diesel,31.0,4.5,Silver,5,Suv,9 miles
BMW,3 Series,BMW 3 Series 2.0 320d M Sport Steptronic Euro 4 2dr,4890,116000,2009,Automatic,Diesel,126.0,4.0,Silver,2,Coupe,9 miles
Mitsubishi,L200,Mitsubishi L200 2.5 TD Warrior Limited Edition Crewcab Pickup 4dr,4990,88000,2003,Manual,Diesel,14.0,3.5,N/a,4,Pickup,9 miles
Kia,Sorento,Kia Sorento 2.0 CRDi 1 Euro 5 5dr,4990,102000,2012,Manual,Diesel,32.0,4.5,Black,5,Suv,9 miles
Kia,Sportage,Kia Sportage 1.7 CRDi EcoDynamics 2 2WD Euro 5 (s/s) 5dr,4990,119000,2011,Manual,Diesel,45.0,4.5,Black,5,Suv,9 miles
Vauxhall,Zafira Tourer,Vauxhall Zafira Tourer 2.0 CDTi ecoFLEX SE Euro 5 (s/s) 5dr,4990,120000,2012,Manual,Diesel,160.0,4.0,Grey,5,Mpv,9 miles
Renault,Scenic,Renault Scenic 1.5 dCi ENERGY Limited Euro 5 (s/s) 5dr,4990,114000,2015,Manual,Diesel,105.0,4.0,Blue,5,Mpv,9 miles
Vauxhall,Antara,Vauxhall Antara 2.2 CDTi Exclusiv 2WD Euro 5 (s/s) 5dr,4990,77000,2013,Manual,Diesel,14.0,4.0,Black,5,Suv,9 miles
BMW,1 Series,BMW 1 Series 2.0 120d M Sport Euro 5 2dr,4990,94000,2009,Manual,Diesel,15.0,4.0,Grey,2,Convertible,9 miles
Citroen,Dispatch,Citroen Dispatch 1.6 1000 HDi FWD L1 H1 5dr,4990,85000,2013,Manual,Diesel,3.0,3.5,Red,5,Panel van,9 miles
Vauxhall,Vivaro,"Vauxhall Vivaro 2.0 CDTi ecoFLEX 2700 Panel Van SWB 4dr (SWB, Euro 4)",4990,113000,2011,Manual,Diesel,2.0,4.5,White,4,Panel van,9 miles
Ford,S-Max,Ford S-Max 2.0 Zetec Euro 5 5dr,4990,103000,2011,Manual,Petrol,25.0,4.5,Silver,5,Mpv,9 miles
BMW,X3,BMW X3 3.0 sd M Sport Steptronic 4WD Euro 4 5dr,4990,103000,2007,Automatic,Diesel,27.0,4.5,Silver,5,Suv,9 miles
Renault,Kangoo,Renault Kangoo 1.5 dCi ML20 90 FWD MWB 3dr,4990,91000,2012,Manual,Diesel,14.0,4.5,White,3,Panel van,9 miles
Ford,Kuga,Ford Kuga 2.0 TDCi Titanium 2WD Euro 5 5dr,5290,98000,2010,Manual,Diesel,31.0,4.5,White,5,Suv,9 miles
Volvo,V70,Volvo V70 2.0D R-Design Euro 4 5dr,5290,100000,2009,Manual,Diesel,93.0,4.5,Silver,5,Estate,9 miles
Kia,Sportage,Kia Sportage 1.7 CRDi EcoDynamics 2 2WD Euro 5 (s/s) 5dr,5290,119000,2012,Manual,Diesel,45.0,4.5,Brown,5,Suv,9 miles
Dacia,Duster,Dacia Duster 1.6 Access 4WD Euro 5 5dr,5290,60000,2013,Manual,Petrol,19.0,4.0,White,5,Suv,9 miles
Mitsubishi,Outlander,Mitsubishi Outlander 2.2 DI-D GX3 4WD Euro 5 5dr,5490,84000,2011,Manual,Diesel,9.0,4.5,Red,5,Suv,9 miles
Hyundai,ix35,Hyundai ix35 1.7 CRDi Premium Euro 5 (s/s) 5dr,5490,109000,2013,Manual,Diesel,13.0,4.5,Blue,5,Suv,9 miles
Vauxhall,Zafira,Vauxhall Zafira 1.6 16V Exclusiv Euro 5 5dr,5490,60000,2013,Manual,Petrol,160.0,4.0,Grey,5,Mpv,9 miles
Mercedes-Benz,C Class,Mercedes-Benz C Class 3.0 C320 CDI V6 Sport G-Tronic Euro 4 4dr,5490,91000,2009,Automatic,Diesel,144.0,4.5,Silver,4,Saloon,9 miles
Hyundai,Santa Fe,Hyundai Santa Fe 2.2 CRDi Premium Auto 4WD Euro 5 5dr (5 seat),5490,97000,2010,Automatic,Diesel,26.0,4.5,Silver,5,Suv,9 miles
Land Rover,Freelander 2,Land Rover Freelander 2 2.2 TD4 SE Auto 4WD Euro 4 5dr,5490,108000,2007,Automatic,Diesel,96.0,4.5,Grey,5,Suv,9 miles
Kia,Sorento,Kia Sorento 2.2 CRDi KX-2 Auto AWD Euro 5 5dr,5490,122000,2011,Automatic,Diesel,32.0,4.5,Silver,5,Suv,9 miles
Citroen,Dispatch,Citroen Dispatch 2.0 1000 HDi FWD L1 H1 5dr,5490,103000,2013,Manual,Diesel,3.0,3.5,White,5,Panel van,9 miles
Vauxhall,Mokka,Vauxhall Mokka 1.6 Exclusiv 2WD Euro 5 (s/s) 5dr,5490,91000,2013,Manual,Petrol,32.0,4.5,Blue,5,Suv,9 miles
Vauxhall,Insignia,Vauxhall Insignia 2.0 CDTi ecoFLEX SRi Nav Euro 5 (s/s) 5dr,5490,93000,2014,Manual,Diesel,96.0,4.5,Silver,5,Hatchback,9 miles
Ford,Galaxy,Ford Galaxy 2.0 TDCi Zetec Powershift Euro 5 5dr,5490,123000,2014,Automatic,Diesel,43.0,4.0,Black,5,Mpv,9 miles
BMW,1 Series,BMW 1 Series 2.0 120d Sport Euro 5 2dr,5690,81000,2011,Manual,Diesel,15.0,4.0,Blue,2,Coupe,9 miles
